Order_ID,Delivery_Time_Min,Distance_KM,Order_Value_INR,Delivery_Partner_Rating,Customer_Rating,Traffic_Level,AI_Route
97,19.8,4.1,651,4.7,5,Medium,Yes
98,25.8,3.6,500,3.6,4,Low,Yes
99,23.4,11.9,365,4.4,5,Low,Yes
100,21.6,5.9,443,5.0,4,Low,Yes
101,22.8,1.8,517,4.8,5,Low,Yes
102,41.9,14.6,459,4.3,3,Medium,No
103,31.3,13.4,515,3.6,5,Low,Yes
104,31.6,14.0,340,4.7,4,Low,Yes
105,36.6,14.9,470,4.4,4,Low,No
106,27.6,3.4,280,3.7,5,Medium,Yes
107,12.9,6.5,437,3.6,5,Low,Yes
108,43.5,11.6,342,4.9,4,Medium,No
109,27.4,10.7,362,4.5,5,Medium,Yes
110,20.7,3.2,598,4.7,4,Medium,Yes
111,28.9,12.4,581,4.8,5,Low,Yes
112,32.5,4.1,523,4.4,4,High,Yes
113,19.8,4.1,319,4.3,5,Medium,No
114,29.6,8.5,412,4.1,4,Low,No
115,49.0,9.3,596,4.0,3,High,No
116,35.2,9.1,467,4.2,4,High,No
117,19.2,2.3,728,4.7,5,Low,No
118,34.3,13.3,497,4.4,5,Medium,Yes
119,35.8,4.7,473,4.8,4,High,No
120,28.3,2.8,413,4.2,4,High,Yes
121,32.5,13.4,466,4.4,4,Low,No
122,38.6,14.4,432,4.4,4,Low,No
123,43.9,13.1,535,4.4,4,Medium,Yes
124,34.7,12.3,565,4.6,5,Medium,Yes
125,35.2,10.2,356,3.9,5,Medium,Yes
126,24.9,8.7,290,4.3,5,Medium,Yes
127,19.5,2.2,230,3.7,5,Medium,No
128,38.9,6.7,511,4.1,4,High,No
129,27.2,6.2,318,4.2,5,Low,Yes
130,25.3,4.6,192,4.5,5,Medium,Yes
131,39.4,11.1,497,4.9,4,High,Yes
132,35.8,7.9,749,4.4,5,High,Yes
133,15.1,2.1,449,4.6,5,Medium,Yes
134,25.6,4.1,551,4.3,5,Medium,Yes
135,34.4,10.6,460,4.5,4,Low,No
136,18.3,2.1,438,3.6,4,Medium,Yes
137,34.5,12.9,560,3.9,4,Medium,Yes
138,27.9,7.9,415,4.0,3,Low,No
139,26.8,7.7,482,4.2,5,Medium,Yes
140,33.7,9.3,489,3.6,5,Medium,No
141,42.1,12.5,370,3.7,3,Low,No
142,24.9,5.9,569,3.9,5,Medium,Yes
143,26.3,10.5,429,5.0,5,Low,Yes
144,27.8,8.9,359,4.0,4,Medium,Yes
145,22.0,4.7,514,4.2,4,Low,Yes
146,43.2,13.3,342,3.8,4,High,Yes
147,35.7,12.2,453,4.4,5,Medium,No
148,37.6,10.2,449,3.9,4,Medium,Yes
149,49.0,12.9,580,3.8,4,High,Yes
150,34.2,13.1,507,4.3,5,Medium,Yes
151,23.9,10.9,447,3.5,4,Low,No
152,40.1,12.7,548,3.5,3,Medium,Yes
153,30.5,10.8,617,3.8,5,Medium,Yes
154,42.9,10.5,517,3.6,4,High,Yes
155,26.7,9.7,451,3.7,5,Medium,No
156,32.8,11.5,293,4.0,4,Low,Yes
157,20.0,3.2,322,4.7,5,Medium,No
158,42.9,13.3,413,4.4,3,Medium,No
159,36.9,13.2,377,4.3,4,Medium,Yes
160,18.3,1.4,428,3.9,5,Medium,No
161,34.3,12.6,457,4.9,5,Medium,Yes
162,33.9,2.8,514,4.1,5,High,No
163,29.0,5.7,442,3.6,5,Medium,No
164,31.4,11.4,508,4.4,4,Low,Yes
165,24.9,3.3,458,3.7,5,Low,Yes
166,27.5,12.5,213,4.0,5,Low,No
167,37.4,12.6,337,4.3,3,Low,Yes
168,24.6,8.1,433,4.8,5,Low,Yes
169,10.1,1.1,305,4.2,5,Low,Yes
170,22.2,5.0,522,4.6,4,Medium,No
171,28.6,9.6,634,5.0,5,Low,No
172,49.7,14.7,596,3.7,3,High,Yes
173,26.2,9.8,424,3.9,5,Low,Yes
174,29.9,4.6,629,4.1,5,Medium,Yes
175,29.0,9.9,468,4.1,4,Medium,No
176,36.9,8.6,410,4.1,4,High,Yes
177,27.8,11.9,376,4.9,4,Low,No
178,22.2,2.5,414,4.6,5,Medium,Yes
179,48.1,11.7,403,4.4,3,High,No
180,35.2,8.6,470,4.0,4,High,Yes
181,35.3,14.5,469,4.7,3,High,Yes
182,26.5,5.8,450,4.9,5,Medium,Yes
183,31.6,9.9,502,4.7,5,Low,No
184,42.6,14.0,593,3.5,3,Medium,No
185,32.5,2.4,564,4.5,5,High,Yes
186,36.9,14.1,272,3.6,4,Medium,No
187,38.6,10.6,144,3.9,4,Medium,No
188,27.6,1.9,562,3.6,5,Medium,No
189,24.7,5.2,286,4.4,5,High,Yes
190,29.6,10.9,423,4.5,5,Low,Yes
191,17.8,1.9,310,3.7,5,Medium,Yes
192,33.5,9.2,234,4.1,4,Medium,No
193,30.1,5.8,515,4.2,4,Medium,No
194,27.6,9.7,541,4.1,4,Low,No
195,11.7,1.6,381,3.7,5,Low,Yes
196,36.9,13.2,139,4.1,3,Medium,Yes
197,37.6,14.6,384,4.6,4,Medium,No
198,37.6,14.6,497,3.6,4,Medium,No
199,35.0,11.5,273,3.6,4,Low,No
200,19.6,2.8,472,4.0,5,Medium,No
201,40.1,11.6,448,4.9,4,Medium,No
202,15.8,1.3,520,4.5,5,Low,Yes
203,12.0,1.3,464,4.5,5,Medium,Yes
204,20.5,5.5,333,4.0,5,Low,No
205,31.5,7.8,594,4.4,4,Low,No
206,37.8,11.8,431,3.5,3,High,Yes
207,31.0,10.6,447,4.5,4,Medium,Yes
208,39.6,7.2,338,4.9,4,High,No
209,27.3,4.8,397,4.4,4,Medium,Yes
210,38.5,15.0,344,4.8,3,Medium,Yes
211,32.1,7.0,429,4.6,4,High,Yes
212,36.6,7.3,655,3.7,4,Medium,No
213,31.9,3.3,285,4.9,5,Medium,No
214,39.1,12.1,256,3.6,3,Medium,Yes
215,36.4,10.7,627,4.3,4,Medium,No
216,26.9,4.1,425,3.7,4,High,Yes
217,24.0,2.2,370,3.5,5,High,Yes
218,44.8,10.5,575,4.1,3,High,No
219,32.0,10.2,377,3.9,4,Low,No
220,39.8,4.8,669,4.2,3,High,No
221,51.1,14.3,531,4.4,3,High,No
222,13.6,3.1,391,3.6,5,Low,No
223,26.9,7.1,709,3.7,5,Low,Yes
224,41.3,14.2,377,4.3,5,High,Yes
225,25.8,6.9,539,4.0,5,Medium,Yes
226,39.9,9.9,486,4.6,3,High,Yes
227,32.9,6.6,606,4.5,4,Low,No
228,43.6,4.8,637,4.8,3,High,Yes
229,39.6,14.8,454,4.5,4,Low,No
230,24.3,6.7,360,4.1,4,Low,No
231,37.4,13.5,505,4.5,4,Low,No
232,33.9,4.2,369,3.9,4,High,Yes
233,24.7,4.0,692,4.0,5,Medium,No
234,26.3,1.4,466,4.7,4,Medium,Yes
235,33.1,10.1,406,4.2,5,Medium,Yes
236,38.3,6.2,472,4.7,4,High,No
237,39.3,13.1,288,4.7,5,Medium,Yes
238,37.1,7.6,333,4.8,4,High,Yes
239,45.3,14.6,594,4.9,4,Medium,No
240,19.9,3.6,371,4.1,5,Medium,Yes
241,37.6,13.2,324,4.0,4,Medium,No
242,33.4,11.9,514,4.4,3,Medium,No
243,46.5,11.8,592,4.1,3,High,No
244,39.3,12.8,536,4.4,4,Medium,Yes
245,31.4,11.7,570,4.6,4,Low,Yes
246,48.4,9.8,359,4.5,2,High,No
247,21.2,2.8,279,4.1,5,Medium,Yes
248,24.9,1.5,630,3.8,5,Medium,No
249,43.5,13.9,411,4.1,4,High,No
250,32.9,9.6,420,3.7,4,Medium,No
251,33.1,12.2,609,4.8,5,Low,Yes
252,38.9,7.7,517,4.0,4,High,Yes
253,22.7,2.6,505,3.7,4,Medium,No
254,20.9,2.8,710,3.5,4,Medium,Yes
255,21.8,10.6,373,4.5,5,Low,Yes
256,36.1,7.0,561,4.5,4,High,No
257,29.3,3.8,457,4.0,4,Medium,No
258,34.2,7.9,482,3.6,4,Medium,No
259,31.9,1.9,633,4.1,5,High,No
260,37.8,9.1,511,4.0,5,High,Yes
261,22.2,4.8,515,4.5,5,Low,No
262,35.7,12.2,579,4.4,4,Medium,No
263,22.7,5.3,406,4.0,5,Low,Yes
264,36.8,7.4,349,3.8,3,High,Yes
265,18.8,1.2,325,5.0,5,Low,No
266,20.9,2.0,214,4.2,4,Medium,No
267,28.1,6.5,697,4.5,5,High,No
268,42.9,7.7,318,3.7,3,High,No
269,29.2,9.4,423,4.2,4,Medium,Yes
270,28.2,5.1,417,3.5,4,High,Yes
271,33.8,10.7,487,4.3,4,Low,No
272,44.9,13.0,548,4.9,3,High,No
273,37.1,11.9,553,4.1,4,Low,No
274,24.9,1.6,380,3.6,5,Medium,No
275,38.3,7.7,430,3.5,3,High,Yes
276,10.3,2.5,484,4.1,5,Low,Yes
277,26.4,4.4,420,3.7,5,Low,No
278,50.2,14.8,643,3.5,3,High,No
279,30.0,3.0,509,4.6,4,High,No
280,32.6,8.0,538,4.2,4,Medium,No
281,27.4,9.7,530,3.9,5,Medium,No
282,34.8,10.8,591,4.9,4,Medium,Yes
283,26.1,8.8,472,3.7,4,Medium,Yes
284,13.2,1.1,294,4.9,5,Medium,Yes
285,17.3,5.6,498,4.0,5,Low,No
286,40.8,8.2,372,4.8,4,High,Yes
287,17.8,2.2,387,4.4,5,Medium,Yes
288,32.0,5.9,520,4.7,4,Medium,Yes
289,17.1,1.5,599,5.0,5,Medium,Yes
290,23.3,2.1,453,3.9,4,High,No
291,17.4,6.6,487,4.9,5,Low,Yes
292,26.3,2.9,654,4.1,5,Medium,Yes
293,32.7,8.9,479,4.1,4,Medium,No
294,30.9,10.7,762,4.0,5,Medium,Yes
295,30.9,12.2,518,4.3,3,Low,Yes
296,31.7,3.8,239,3.7,4,High,Yes
297,36.4,3.3,540,4.3,4,High,No
298,26.5,2.5,496,4.3,4,Medium,Yes
299,33.4,9.9,605,4.6,4,Medium,No
300,35.0,10.9,531,4.8,4,High,Yes
301,24.4,1.4,433,4.2,5,High,Yes
302,34.2,14.1,303,4.0,4,Low,Yes
303,15.7,1.7,425,3.9,4,Medium,Yes
304,29.1,8.6,348,3.8,3,Medium,No
305,37.7,10.9,380,3.6,4,Medium,No
306,46.6,13.2,521,4.0,3,High,No
307,40.6,11.0,650,3.9,2,High,Yes
308,39.3,12.2,497,4.9,3,High,Yes
309,27.8,5.8,306,4.3,4,Medium,No
310,26.9,12.4,503,4.0,5,Low,Yes
311,30.7,2.1,594,4.4,4,High,Yes
312,48.4,13.5,377,3.7,3,High,Yes
313,17.7,8.7,434,4.2,5,Low,Yes
314,41.9,12.4,452,4.4,2,High,No
315,32.0,7.3,356,4.2,5,High,No
316,32.4,10.0,528,4.1,4,Medium,No
317,29.3,8.4,435,5.0,5,Medium,Yes
318,28.0,11.2,500,4.8,5,Medium,Yes
319,11.5,2.1,344,4.4,5,Low,Yes
320,15.7,1.8,398,4.4,5,Medium,Yes
321,31.6,4.5,537,4.4,4,High,Yes
322,20.1,3.2,405,3.8,5,Low,No
323,36.9,13.2,657,4.1,4,Medium,No
324,23.9,4.1,402,3.6,5,Medium,Yes
325,39.9,14.7,477,4.2,3,Medium,No
326,34.5,5.7,562,4.3,4,High,No
327,31.9,3.5,280,3.8,3,Medium,No
328,43.5,12.1,239,4.9,4,Medium,No
329,34.1,10.2,267,4.9,4,High,Yes
330,32.3,8.0,602,4.6,4,Medium,Yes
331,28.4,8.8,384,4.3,4,Low,Yes
332,32.1,11.1,757,4.8,5,Medium,No
333,21.6,4.2,382,3.7,5,Low,Yes
334,40.5,14.9,472,4.7,4,Low,Yes
335,34.4,14.6,635,3.7,4,Medium,Yes
336,28.5,10.1,691,4.7,5,Medium,Yes
337,36.8,3.8,697,3.9,4,High,No
338,36.8,10.5,595,4.8,5,Medium,No
339,22.2,2.0,573,4.9,5,Medium,Yes
340,20.5,1.4,521,3.7,5,Medium,Yes
341,20.5,4.6,543,4.2,5,Low,Yes
342,22.9,7.5,384,5.0,5,Medium,Yes
343,36.0,13.2,352,4.2,4,Low,Yes
344,45.5,11.2,450,4.8,4,High,Yes
345,28.2,11.4,430,4.4,4,Low,Yes
346,30.3,7.0,396,4.1,4,Medium,No
347,17.6,5.8,534,3.9,5,Low,No
348,35.4,6.2,565,3.8,4,High,Yes
349,41.5,14.8,461,4.6,4,Medium,Yes
350,22.2,1.6,627,4.1,5,Medium,No
351,36.1,13.1,313,4.3,5,Low,Yes
352,39.3,9.1,427,4.2,4,High,No
353,27.9,7.1,364,4.4,5,Low,No
354,36.7,11.2,226,4.8,4,High,Yes
355,23.6,7.8,440,5.0,4,Low,Yes
356,34.1,13.2,435,4.1,5,Low,No
357,33.3,13.6,632,4.7,5,Low,Yes
358,28.9,6.9,526,4.6,5,Medium,No
359,26.8,4.9,327,4.4,4,Medium,No
360,32.3,9.3,672,4.9,4,Low,No
361,43.0,13.8,597,3.8,3,High,Yes
362,19.4,3.9,520,3.7,5,Medium,No
363,38.5,9.7,423,4.8,4,Medium,Yes
364,37.2,9.8,335,4.2,4,Medium,Yes
365,31.8,11.3,405,4.8,5,Medium,No
366,24.0,2.8,581,4.8,5,Medium,Yes
367,29.5,11.0,676,3.6,5,Low,No
368,36.6,13.7,635,4.8,3,Low,No
369,30.4,3.5,391,4.2,4,High,Yes
370,29.5,4.3,316,4.3,3,High,Yes
371,35.8,14.6,467,4.4,4,Medium,Yes
372,19.5,3.5,238,4.9,4,Medium,Yes
373,32.8,13.0,489,3.5,5,Medium,Yes
374,28.5,7.9,432,4.2,5,Medium,No
375,18.5,4.5,394,4.5,5,Low,Yes
376,28.9,13.2,259,4.6,5,Low,Yes
377,40.5,7.2,512,4.5,3,High,No
378,35.2,8.2,386,3.7,5,Medium,Yes
379,21.7,6.0,310,3.9,5,Low,No
380,26.9,9.3,120,4.0,4,Low,Yes
381,18.9,3.3,447,4.7,5,Low,Yes
382,31.6,6.5,663,3.9,4,Medium,No
383,37.2,14.6,649,3.8,3,Low,No
384,24.9,4.6,395,4.9,4,Low,No
385,44.2,10.2,378,3.5,3,High,No
386,18.4,5.6,506,5.0,5,Low,No
387,38.2,11.8,330,4.5,4,Medium,Yes
388,19.7,2.8,486,4.7,5,Low,Yes
389,33.8,14.6,542,3.9,4,Low,No
390,26.3,7.4,597,3.5,4,Low,No
391,36.2,4.3,438,4.6,3,High,No
392,26.2,2.0,426,4.8,5,High,Yes
393,33.4,3.4,345,4.6,3,High,Yes
394,41.9,8.3,351,3.7,4,Medium,No
395,22.4,5.7,423,4.6,4,Medium,Yes
396,28.4,12.6,494,4.7,5,Low,No
397,31.7,7.0,560,4.5,5,Medium,No
398,33.6,4.5,354,4.6,4,High,Yes
399,28.5,9.6,629,4.8,5,Low,No
400,37.2,10.9,417,4.4,3,Low,No
401,11.6,3.3,447,3.6,5,Low,Yes
402,22.7,3.3,360,4.2,5,Low,No
403,11.8,1.5,159,3.6,5,Low,Yes
404,43.8,11.3,556,4.1,4,Medium,No
405,40.4,10.3,538,4.1,4,Medium,Yes
406,35.3,7.6,416,3.6,4,High,No
407,41.0,12.8,458,4.0,3,High,Yes
408,38.9,12.3,512,3.7,3,Medium,Yes
409,32.3,9.2,262,4.7,4,Medium,No
410,36.6,13.2,387,4.9,4,Medium,Yes
411,23.0,3.9,545,3.6,4,Medium,Yes
412,16.2,2.6,299,4.9,5,Medium,No
413,27.1,4.8,485,4.3,5,Medium,No
414,19.9,1.8,287,3.9,5,Medium,No
415,30.6,8.4,506,3.6,4,Medium,No
416,43.9,14.1,446,4.3,3,Medium,Yes
417,14.4,1.6,256,4.7,5,Medium,Yes
418,31.3,2.7,590,4.6,4,High,Yes
419,36.8,7.3,362,3.6,4,High,No
420,35.0,14.1,353,3.6,3,Low,No
421,38.3,5.4,474,4.1,4,High,No
422,33.5,8.1,588,3.9,4,Medium,No
423,28.7,1.6,328,3.8,3,High,Yes
424,32.5,3.1,457,3.9,4,High,Yes
425,37.9,14.8,501,4.7,4,Medium,Yes
426,31.3,14.5,533,4.9,5,Low,Yes
427,14.3,1.1,471,4.1,5,Medium,Yes
428,38.1,14.3,406,4.9,3,Medium,No
429,43.6,9.9,351,4.0,4,Medium,Yes
430,41.8,13.2,460,4.2,3,Medium,Yes
431,17.7,7.4,321,3.8,5,Low,Yes
432,34.0,8.2,120,4.5,4,High,No
433,40.6,7.8,502,5.0,4,High,No
434,34.6,10.3,558,4.4,5,Medium,Yes
435,18.7,3.0,166,4.0,4,Low,Yes
436,21.1,1.4,329,4.5,4,Medium,No
437,19.4,5.3,524,3.7,5,Low,Yes
438,44.7,10.9,697,4.8,4,High,No
439,21.0,3.8,452,4.3,4,Low,No
440,23.7,10.4,363,4.2,3,Medium,Yes
441,38.0,14.6,428,4.4,4,Medium,Yes
442,20.0,2.3,615,4.4,5,Medium,No
443,33.3,10.4,372,3.6,5,Medium,Yes
444,46.7,7.2,354,4.5,3,High,Yes
445,36.3,13.2,392,3.9,4,Low,No
446,19.0,3.5,336,4.6,5,Low,No
447,34.7,10.7,465,4.7,3,Low,No
448,48.0,12.7,645,4.7,3,High,No
449,47.0,14.2,489,4.3,3,High,Yes
450,35.3,10.6,420,4.3,4,Medium,Yes
451,40.2,8.0,415,3.7,3,Medium,No
452,29.9,9.6,262,4.7,4,Medium,No
453,33.7,13.2,556,3.9,3,Low,Yes
454,36.8,9.0,441,4.2,4,High,No
455,21.3,1.4,428,3.9,5,Medium,Yes
456,34.3,14.0,833,3.7,4,Medium,Yes
457,31.4,10.7,486,4.4,4,Medium,Yes
458,26.6,10.5,360,3.6,5,Low,Yes
459,21.9,4.0,399,4.6,5,Low,Yes
460,43.0,10.2,588,4.0,4,High,Yes
461,16.8,6.5,464,3.5,5,Low,Yes
462,35.4,10.1,277,4.3,4,Medium,No
463,15.9,2.5,560,3.6,5,Low,No
464,30.3,10.2,370,3.9,4,Medium,No
465,41.6,15.0,675,4.6,3,Medium,No
466,18.3,1.7,580,3.6,5,Medium,Yes
467,55.8,14.7,396,4.8,3,High,Yes
468,31.8,6.7,604,3.5,3,Medium,No
469,31.3,13.2,458,3.9,5,Medium,Yes
470,35.7,12.0,552,4.6,4,Medium,No
471,34.4,8.9,508,4.0,4,Medium,Yes
472,52.3,11.3,348,3.7,3,High,No
473,37.6,13.3,373,4.0,3,High,Yes
474,17.5,6.7,574,3.9,5,Low,No
475,27.9,5.6,410,4.8,4,Low,Yes
476,37.0,10.3,402,4.0,3,Medium,No
477,32.0,12.3,335,4.7,5,Medium,Yes
478,34.7,11.7,501,4.8,4,Low,No
479,27.8,12.2,698,4.2,4,Medium,No
480,27.7,7.1,322,4.9,5,Medium,Yes
481,39.9,12.4,453,4.1,3,Medium,No
482,34.7,2.7,619,4.9,4,High,No
483,20.8,8.6,440,3.6,5,Low,Yes
484,17.0,1.1,504,4.5,5,Low,No
485,31.5,5.5,323,4.2,4,High,No
486,30.2,6.1,501,4.1,4,Medium,No
487,23.2,6.5,428,4.4,4,Medium,Yes
488,31.4,10.7,568,4.6,4,Medium,Yes
489,20.6,6.4,592,3.5,5,Low,No
490,40.6,7.3,761,3.8,4,High,No
491,33.9,4.3,520,4.6,4,High,Yes
492,28.4,6.2,489,4.5,5,Medium,No
493,23.5,4.2,473,4.9,4,Medium,Yes
494,14.2,2.0,408,4.6,5,Medium,Yes
495,29.9,9.4,491,4.9,4,Medium,Yes
496,27.4,10.4,415,4.6,5,Low,Yes
497,52.0,9.7,470,3.9,3,High,No
498,18.8,7.5,608,3.7,5,Low,Yes
499,42.3,6.3,329,4.7,4,High,No
500,43.6,13.1,587,4.5,4,Medium,No
